statea	stateb	year	dependa	dependb	demauta	demautb	allies	dispute1	logdstab	lcaprat2	smigoabi	opena	openb	minrpwrs	noncontg
2	51	1979	2.8100368E-4	0.18818161	10	10	0	0	7.0772758	5.966906	40	0.19309999	1.0043	-1.0	-1.0
2	51	1980	2.6726464E-4	0.18550432	10	10	0	0	7.0772758	5.933605	46	0.21100001	1.0531	-1.0	-1.0
2	51	1981	2.893079E-4	0.21239607	10	10	0	0	7.0772758	5.928911	46	0.204	1.0598999	-1.0	-1.0
2	51	1982	2.509115E-4	0.1759056	10	10	0	0	7.0772758	5.618788	46	0.1851	0.89449996	-1.0	-1.0
2	51	1983	2.2365664E-4	0.15838286	10	10	0	0	7.0772758	5.9463534	46	0.177	0.7758	-1.0	-1.0
2	51	1984	2.4175341E-4	0.18019809	10	10	0	0	7.0772758	6.099116	46	0.1868	1.1725	-1.0	-1.0
2	51	1985	1.75719E-4	0.13917577	10	10	0	0	7.0772758	6.157963	46	0.18010001	1.3189999	-1.0	-1.0
2	51	1986	1.8423125E-4	0.14579016	10	10	0	0	7.0772758	5.6442876	41	0.1808	1.076	-1.0	-1.0
2	51	1987	2.2770377E-4	0.17610079	10	10	0	0	7.0772758	5.6459007	36	0.19209999	1.0674	-1.0	-1.0
2	51	1988	2.526925E-4	0.17888829	10	10	0	0	7.0772758	5.66052	30	0.2037	1.1018	-1.0	-1.0
2	51	1989	3.0311797E-4	0.22301282	10	10	0	0	7.0772758	5.6548457	25	0.2091	1.1358	-1.0	-1.0
2	51	1990	2.8445327E-4	0.21106999	10	10	0	0	7.0772758	5.627127	20	0.215	1.1344	-1.0	-1.0
2	51	1991	2.8174816E-4	0.22341163	10	10	0	0	7.0772758	5.653835	15	0.2136645	0.5092808	-1.0	-1.0
2	52	1962	2.3308117E-4	0.091213346	10	8	0	0	7.7034435	6.8167806	36	0.0882959	0.61724716	-1.0	0.0
2	52	1963	2.9088772E-4	0.107734144	10	8	0	0	7.7034435	6.8714204	36	0.089119606	0.5934694	-1.0	0.0
2	52	1964	2.7698406E-4	0.10143953	10	8	0	0	7.7034435	6.8202224	36	0.09326735	0.60741824	-1.0	0.0
2	52	1965	3.2910786E-4	0.13324164	10	8	0	0	7.7034435	6.760367	35	0.0949	0.65642166	-1.0	0.0
2	52	1966	3.0975923E-4	0.1365089	10	8	0	0	7.7034435	6.713089	35	0.0986	0.6620291	-1.0	0.0
